RANK,NAME,COINS_URL,PRICE,DIRECT_VOLUME,TOTAL_VOLUME,TIER_VOLUME,MARKET_CAP,RATING,PRICE_CHANGE,CHART
94,Dash-DASH,https://www.cryptocompare.com/coins/dash/overview/USD,$ 43.10,$ 1.35 M,$ 14.95 M,$ 14.95 M,$ 464.70 M,C,,https://images.cryptocompare.com/sparkchart/DASH/USD/latest.png?ts=1655492400
95,Sun Token-SUNOLD,https://www.cryptocompare.com/coins/sunold/overview/USD,$ 0.005907,"$ 4,350.91",$ 14.45 M,$ 14.45 M,$ 117.55 k,,,https://images.cryptocompare.com/sparkchart/SUNOLD/USD/latest.png?ts=1655492400
96,Ravencoin-RVN,https://www.cryptocompare.com/coins/rvn/overview/USD,$ 0.02001,$ 413.35 k,$ 14.39 M,$ 14.39 M,$ 221.41 M,D+,,https://images.cryptocompare.com/sparkchart/RVN/USD/latest.png?ts=1655492400
97,Celsius Network-CEL,https://www.cryptocompare.com/coins/cel/overview/USD,$ 0.5769,$ 9.08 M,$ 14.32 M,$ 14.32 M,$ 399.65 M,C-,,https://images.cryptocompare.com/sparkchart/CEL/USD/latest.png?ts=1655492400
98,Litentry-LIT,https://www.cryptocompare.com/coins/lit/overview/USD,$ 0.7390,-,$ 14.16 M,$ 14.16 M,$ 73.90 M,,,https://images.cryptocompare.com/sparkchart/LIT/USD/latest.png?ts=1655492400
99,Nuls-NULS,https://www.cryptocompare.com/coins/nuls/overview/USD,$ 0.1806,-,$ 13.98 M,$ 13.98 M,$ 21.53 M,D,,https://images.cryptocompare.com/sparkchart/NULS/USD/latest.png?ts=1655492400
100,Steem Dollars-SBD,https://www.cryptocompare.com/coins/sbd/overview/USD,$ 0.2192,$ 0,$ 1.11 M,$ 1.11 M,$ 2.50 M,E-,,https://images.cryptocompare.com/sparkchart/SBD/USD/latest.png?ts=1655492400
1,Avalanche-AVAX,https://www.cryptocompare.com/coins/avax/overview/USD,$ 15.86,$ 46.38 M,$ 209.25 M,$ 209.04 M,$ 6.42 B,,,https://images.cryptocompare.com/sparkchart/AVAX/USD/latest.png?ts=1655492400
2,Chainlink-LINK,https://www.cryptocompare.com/coins/link/overview/USD,$ 6.401,$ 42.29 M,$ 215.67 M,$ 207.29 M,$ 6.40 B,B,,https://images.cryptocompare.com/sparkchart/LINK/USD/latest.png?ts=1655492400
3,Fantom-FTM,https://www.cryptocompare.com/coins/ftm/overview/USD,$ 0.2361,$ 7.88 M,$ 80.32 M,$ 80.32 M,$ 638.29 M,C-,,https://images.cryptocompare.com/sparkchart/FTM/USD/latest.png?ts=1655492400
4,Origin Protocol-OGN,https://www.cryptocompare.com/coins/ogn/overview/USD,$ 0.2457,$ 807.20 k,$ 53.66 M,$ 53.66 M,$ 245.70 M,C+,,https://images.cryptocompare.com/sparkchart/OGN/USD/latest.png?ts=1655492400
5,Augur-REP,https://www.cryptocompare.com/coins/rep/overview/USD,$ 8.110,$ 1.27 M,$ 41.76 M,$ 41.73 M,$ 61.15 M,C,,https://images.cryptocompare.com/sparkchart/REP/USD/latest.png?ts=1655492400
6,Thorchain-RUNE,https://www.cryptocompare.com/coins/rune/overview/USD,$ 1.707,$ 342.19,$ 41.36 M,$ 41.36 M,$ 853.47 M,C+,,https://images.cryptocompare.com/sparkchart/RUNE/USD/latest.png?ts=1655492400
7,Uniswap Protocol Token-UNI,https://www.cryptocompare.com/coins/uni/overview/USD,$ 3.907,$ 6.29 M,$ 38.36 M,$ 38.36 M,$ 3.91 B,B-,,https://images.cryptocompare.com/sparkchart/UNI/USD/latest.png?ts=1655492400
8,Aave-AAVE,https://www.cryptocompare.com/coins/aave/overview/USD,$ 57.39,$ 9.52 M,$ 32.91 M,$ 32.91 M,$ 918.24 M,B-,,https://images.cryptocompare.com/sparkchart/AAVE/USD/latest.png?ts=1655492400
9,Loopring-LRC,https://www.cryptocompare.com/coins/lrc/overview/USD,$ 0.3705,$ 6.04 M,$ 32.30 M,$ 32.30 M,$ 509.02 M,C+,,https://images.cryptocompare.com/sparkchart/LRC/USD/latest.png?ts=1655492400
10,JUST-JST,https://www.cryptocompare.com/coins/jst/overview/USD,$ 0.02685,-,$ 31.51 M,$ 31.51 M,$ 265.79 M,C+,,https://images.cryptocompare.com/sparkchart/JST/USD/latest.png?ts=1655492400
11,Kyber Network Crystal v2-KNC,https://www.cryptocompare.com/coins/knc/overview/USD,$ 1.338,$ 5.73 M,$ 31.52 M,$ 31.52 M,$ 266.20 M,B-,,https://images.cryptocompare.com/sparkchart/KNC/USD/latest.png?ts=1655492400
12,Bella Protocol-BEL,https://www.cryptocompare.com/coins/bel/overview/USD,$ 0.9099,-,$ 30.89 M,$ 28.70 M,$ 90.99 M,C,,https://images.cryptocompare.com/sparkchart/BEL/USD/latest.png?ts=1655492400
13,Enjin Coin-ENJ,https://www.cryptocompare.com/coins/enj/overview/USD,$ 0.4372,$ 2.29 M,$ 26.53 M,$ 26.50 M,$ 437.20 M,C+,,https://images.cryptocompare.com/sparkchart/ENJ/USD/latest.png?ts=1655492400
14,Wrapped Bitcoin-WBTC,https://www.cryptocompare.com/coins/wbtc/overview/USD,"$ 20,474.81",$ 4.34 M,$ 24.69 M,$ 24.42 M,$ 5.48 B,,,https://images.cryptocompare.com/sparkchart/WBTC/USD/latest.png?ts=1655492400
15,PancakeSwap-CAKE,https://www.cryptocompare.com/coins/cake/overview/USD,$ 2.912,$ 32.87,$ 23.86 M,$ 23.70 M,$ 437.20 M,,,https://images.cryptocompare.com/sparkchart/CAKE/USD/latest.png?ts=1655492400
16,Reserve Rights-RSR,https://www.cryptocompare.com/coins/rsr/overview/USD,$ 0.006845,$ 1.23 M,$ 20.58 M,$ 20.58 M,$ 684.50 M,C,,https://images.cryptocompare.com/sparkchart/RSR/USD/latest.png?ts=1655492400
17,Serum-SRM,https://www.cryptocompare.com/coins/srm/overview/USD,$ 0.8932,$ 3.65 M,$ 19.87 M,$ 19.87 M,$ 233.13 M,C,,https://images.cryptocompare.com/sparkchart/SRM/USD/latest.png?ts=1655492400
18,0x-ZRX,https://www.cryptocompare.com/coins/zrx/overview/USD,$ 0.2639,$ 2.40 M,$ 19.37 M,$ 19.37 M,$ 263.90 M,C+,,https://images.cryptocompare.com/sparkchart/ZRX/USD/latest.png?ts=1655492400
19,Curve DAO Token-CRV,https://www.cryptocompare.com/coins/crv/overview/USD,$ 0.6531,$ 3.89 M,$ 17.88 M,$ 17.88 M,$ 1.15 B,B-,,https://images.cryptocompare.com/sparkchart/CRV/USD/latest.png?ts=1655492400
20,Sushi-SUSHI,https://www.cryptocompare.com/coins/sushi/overview/USD,$ 0.9793,$ 5.40 M,$ 16.88 M,$ 16.88 M,$ 237.71 M,C+,,https://images.cryptocompare.com/sparkchart/SUSHI/USD/latest.png?ts=1655492400
21,Maker-MKR,https://www.cryptocompare.com/coins/mkr/overview/USD,$ 765.98,$ 3.52 M,$ 15.79 M,$ 15.79 M,$ 748.85 M,C+,,https://images.cryptocompare.com/sparkchart/MKR/USD/latest.png?ts=1655492400
22,Swipe-SXP,https://www.cryptocompare.com/coins/sxp/overview/USD,$ 0.3654,$ 119.45 k,$ 15.63 M,$ 15.63 M,$ 104.26 M,C,,https://images.cryptocompare.com/sparkchart/SXP/USD/latest.png?ts=1655492400
23,UMA-UMA,https://www.cryptocompare.com/coins/uma/overview/USD,$ 2.684,$ 1.70 M,$ 15.28 M,$ 15.28 M,$ 289.03 M,C,,https://images.cryptocompare.com/sparkchart/UMA/USD/latest.png?ts=1655492400
24,Dai-DAI,https://www.cryptocompare.com/coins/dai/overview/USD,$ 0.9999,$ 5.99 M,$ 15.21 M,$ 15.10 M,$ 6.36 B,,,https://images.cryptocompare.com/sparkchart/DAI/USD/latest.png?ts=1655492400
